ticker,trends_score,trading_signal,confidence,current_price,rsi,macd,macd_signal,trend_strength,momentum_20d,momentum_50d,volume_ratio,volatility,position_52w,bb_position,week_52_high,week_52_low,current_ma_20,current_ma_50,current_ma_200,individual_scores,data_quality,success
LIN,57.1,HOLD,LOW,472.8900146484375,55.39925044113726,1.4378998419662707,1.1012691075613121,0.5113088845766027,1.8150160075035688,5.265095744020321,0.7539084002226707,0.18509285561185654,87.51420366153985,68.37494607889904,481.8299865722656,410.2288513183594,469.2279998779297,465.4650811767578,452.94405059814454,"{'price_trend_score': 65, 'moving_average_signal_score': 65, 'trend_strength_score': 60, 'rsi_signal_score': 50, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
EXR,56.2,HOLD,LOW,150.86000061035156,56.3475817946763,0.6204925977929463,0.4942279911288863,0.5993700733219864,3.5770730739405434,3.7352191838515396,0.7912431016145303,0.24685402919728117,49.221452057320356,69.83552276839,177.2915496826172,125.23896026611328,149.4630012512207,148.41979583740235,150.2586739730835,"{'price_trend_score': 62, 'moving_average_signal_score': 62, 'trend_strength_score': 60, 'rsi_signal_score': 50, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
MSFT,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
NIO,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
CGC,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
XEL,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
FLWS,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
CRUS,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
CELG,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
CVS,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
BKNG,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
EXC,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
PSA,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
EXPEDIA,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
TXN,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
MOH,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
NOW,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
DDOG,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
MSFT,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
NAKD,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
KLAC,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
BLUE,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
HUT,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
UNH,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
CHPT,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
RIOT,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
TZOO,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
IIPR,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
ROKU,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
HD,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
ZI,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
DASH,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
ARKF,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
BB,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
WDAY,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
HUM,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
WEC,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
RARE,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
AMC,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
MSTR,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
INTC,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
MCHP,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
COIN,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
ARKW,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
EXPR,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
CRWD,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
W,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
SPLK,47.2,HOLD,LOW,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,50.0,120.0,80.0,100.0,100.0,100.0,"{'price_trend_score': 50, 'moving_average_signal_score': 50, 'trend_strength_score': 40, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 40, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",0,False
